# MC-070: cProfile of 50 sandboxed launches of /bin/true (host side only)
         53930 function calls in 0.718 seconds

   Ordered by: cumulative time
   List reduced from 79 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       50    0.017    0.000    0.719    0.014 /home/claude/inv39_process_sandbox_tier/linux/launcher.py:266(launch)
       98    0.356    0.004    0.356    0.004 {built-in method time.sleep}
      100    0.234    0.002    0.234    0.002 {built-in method select.select}
       98    0.007    0.000    0.066    0.001 /home/claude/inv39_process_sandbox_tier/linux/launcher.py:108(read_back)
       98    0.011    0.000    0.022    0.000 /home/claude/inv39_process_sandbox_tier/linux/launcher.py:82(_read_status)
       50    0.018    0.000    0.018    0.000 {built-in method posix.fork}
      392    0.011    0.000    0.012    0.000 {built-in method io.open}
       98    0.005    0.000    0.011    0.000 /home/claude/inv39_process_sandbox_tier/linux/launcher.py:95(_read_limits)
       50    0.003    0.000    0.009    0.000 /home/claude/inv39_process_sandbox_tier/linux/seccomp.py:74(compile_filter)
       98    0.000    0.000    0.008    0.000 {built-in method builtins.sum}
       98    0.007    0.000    0.008    0.000 /home/claude/inv39_process_sandbox_tier/linux/launcher.py:118(<genexpr>)
      888    0.001    0.000    0.006    0.000 /home/claude/inv39_process_sandbox_tier/linux/launcher.py:91(_ns_inode)
       98    0.001    0.000    0.005    0.000 /home/claude/inv39_process_sandbox_tier/linux/launcher.py:111(<dictcomp>)
      100    0.002    0.000    0.005    0.000 /home/claude/inv39_process_sandbox_tier/linux/seccomp.py:65(digest)
      888    0.005    0.000    0.005    0.000 {built-in method posix.readlink}
      196    0.003    0.000    0.004    0.000 {method 'readlines' of '_io._IOBase' objects}
       50    0.002    0.000    0.003    0.000 /home/claude/inv39_process_sandbox_tier/linux/launcher.py:237(verify)
      444    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
      784    0.001    0.000    0.002    0.000 <frozen codecs>:319(decode)
       98    0.002    0.000    0.002    0.000 {built-in method posix.listdir}


